Montana,1157
Alabama,5
Alaska,46
Arizona,10
California,108
Colorado,130
Connecticut,5
Delaware,1
District of Columbia,1
Florida,4
Georgia,7
Hawaii,3
Idaho,51
Illinois,17
Indiana,5
Iowa,4
Kansas,4
Kentucky,1
Maine,3
Maryland,5
Massachusetts,8
Michigan,9
Minnesota,40
Missouri,6
Nebraska,1
Nevada,5
New Hampshire,4
New Jersey,2
New Mexico,7
New York,7
North Carolina,6
North Dakota,7
Ohio,4
Oklahoma,3
Oregon,46
Pennsylvania,7
Rhode Island,1
South Carolina,4
South Dakota,12
Tennessee,1
Texas,13
Utah,10
Vermont,7
Virginia,7
Washington,133
Wisconsin,13
Wyoming,15
